season,zone,state,crop,households_reporting_000,planted_area_ha,harvested_area_ha,harvested_quantity_kg,yield_kg_ha,is_aggregate,source_sheet,source_table
major,North Central,Benue,MAIZE,850.39,367795.171269929,350398.700330846,393992916.635551,1124.41317922567,False,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
major,North Central,FCT,MAIZE,266.34,153246.079216468,123737.798834803,160617819.178091,1298.04975270754,False,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
major,North Central,Kogi,MAIZE,640.86,327793.065370747,309235.626288653,425714644.828509,1376.6675267588,False,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
major,North Central,Kwara,MAIZE,398.11,307483.872741676,301489.864766927,500201087.661273,1659.09752239255,False,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
major,North Central,Nasarawa,MAIZE,520.48,416547.122485433,360177.787028466,421367494.782123,1169.88751099418,False,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
major,North Central,Niger,MAIZE,996.04,1283120.86897208,1243297.4959232,1467707747.24097,1180.49602130915,False,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
major,North Central,Plateau,MAIZE,1077.79,852243.666777231,749918.988417075,976793517.56568,1302.53205033185,False,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
major,North Central,Zone Total,MAIZE,4750.01,3708229.84683356,3438256.26158998,4346395227.89222,1264.1277721057,True,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
major,North East,Adamawa,MAIZE,963.37,1258814.10929411,1015178.03138876,1323914290.87837,1304.12031185039,False,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
major,North East,Bauchi,MAIZE,735.41,767543.781034927,719212.547201238,969883580.18929,1348.53540022837,False,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
major,North East,Borno,MAIZE,554.2,406759.032375907,310791.788092077,426324748.970981,1371.73749534423,False,Crop Production2_major season,"Table 1.1: Main 9 crops highly cultivated in all Nigeria, number of agricultural holdings in the household sector, areas planted/harvested, production/yield in the major season, Zone/State name, Agricultural Year 2022/2023."
